age,gender,relationshipStatus,totalIncome,currencyAmount
22,Male,Married,9717.51,206.29
26,Male,Married,13263.03,267.42
26,Male,Married,50117.1,191.85
30,Male,Married,8894.49,215.07999999999998
30,Male,Married,20284.44,173.38
30,Other,Married,14272.5,155.79999999999998
31,Female,Single,30984.36,201.6
31,Male,Married,13279.2,120.00999999999999
32,Male,Married,19202.7,213.14
32,Male,Married,38733.0,211.02
32,Other,Married,55503.0,252.82999999999998
33,Male,Married,53354.0,183.0
33,Male,Married,82956.0,157.35999999999999
33,Male,Married,122458.0,156.38
34,Female,Married,31513.0,147.11999999999998
34,Female,Married,33687.0,184.76999999999998
34,Female,Married,39745.0,146.17
34,Female,Married,40086.0,205.01
34,Female,Married,41670.0,229.47000000000003
34,Female,Married,41789.0,69.23
34,Female,Married,64509.0,119.07
34,Male,Married,42035.0,128.16
34,Male,Married,42300.0,275.36
34,Male,Married,45832.0,215.07
34,Male,Married,46980.0,156.07
34,Male,Married,49976.0,198.14999999999998
34,Male,Married,60982.0,223.32999999999998
34,Other,Married,42166.0,174.79999999999998
35,Female,Married,21061.0,160.4
35,Female,Married,26352.0,118.78
35,Female,Married,28047.0,294.33
35,Female,Married,28216.0,196.78
35,Female,Married,29729.0,143.09
35,Female,Married,31614.0,194.44
35,Female,Married,32351.0,242.49
35,Female,Married,33076.0,205.59999999999997
35,Female,Married,33099.0,146.75
35,Female,Married,33469.0,191.16
35,Female,Married,33596.0,169.16
35,Female,Married,34008.0,238.34
35,Female,Married,34020.0,218.84
35,Female,Married,34286.0,178.65
35,Female,Married,34611.0,183.55
35,Female,Married,36914.0,210.6
35,Female,Married,37371.0,257.56
35,Female,Married,37957.0,168.14
35,Female,Married,38096.0,213.05
35,Female,Married,42800.0,160.0
35,Female,Married,43866.0,162.67000000000002
35,Female,Married,44168.0,198.77
35,Female,Married,46002.0,198.05
35,Female,Married,46670.0,213.44
35,Female,Married,46819.0,161.97
35,Female,Married,47101.0,121.10999999999999
35,Female,Married,48257.0,201.44
35,Female,Married,48948.0,144.56
35,Female,Married,50227.0,178.79000000000002
35,Female,Married,51404.0,135.69
35,Female,Married,51765.0,128.38
35,Female,Married,52910.0,200.70000000000002
35,Female,Married,53468.0,196.17000000000002
35,Female,Married,56919.0,196.66
35,Female,Married,56924.0,152.2
35,Female,Married,65050.0,186.63
35,Female,Married,68665.0,185.58
35,Female,Married,69396.0,208.47999999999996
35,Female,Married,72498.0,154.21
35,Female,Married,78025.0,223.15000000000003
35,Female,Married,78868.0,182.16
35,Female,Married,87523.0,262.71
35,Female,Married,90590.0,231.39999999999998
35,Female,Married,91032.0,176.99999999999997
35,Female,Married,91402.0,162.15000000000003
