age,gender,relationshipStatus,totalIncome,currencyAmount
30,Male,Married,20284.44,276.7
31,Male,Married,13279.2,236.90000000000003
32,Male,Married,38733.0,321.28000000000003
32,Other,Married,55503.0,975.12
33,Male,Married,82956.0,1226.9499999999998
34,Female,Married,33687.0,251.38
34,Female,Married,40086.0,511.69
34,Male,Married,45832.0,982.43
35,Female,Married,33076.0,466.71
35,Female,Married,33469.0,272.63000000000005
35,Female,Married,34020.0,390.42
35,Female,Married,37957.0,571.66
35,Female,Married,44168.0,980.7299999999999
35,Female,Married,46819.0,620.3
35,Female,Married,51404.0,970.97
35,Female,Married,53468.0,411.09999999999997
35,Female,Married,56924.0,397.31
35,Female,Married,65050.0,1260.3
35,Female,Married,72498.0,760.3
35,Female,Married,91032.0,877.3199999999999
35,Female,Married,93386.0,1138.65
35,Male,Married,36593.0,307.34
35,Male,Married,61187.0,631.07
35,Other,Married,42579.0,858.5400000000001
35,Other,Married,56083.0,650.91
36,Female,Married,28109.0,391.63
36,Female,Married,30470.0,378.02
36,Female,Married,36139.0,525.0300000000001
36,Female,Married,37322.0,888.8599999999999
36,Female,Married,56527.0,863.0500000000001
36,Female,Married,60939.0,636.1999999999999
36,Female,Married,65312.0,1028.88
36,Female,Married,66333.0,844.01
36,Male,Married,56524.0,765.28
36,Male,Married,69868.0,680.33
36,Male,Married,74916.0,772.49
36,Other,Married,39528.0,985.97
36,Other,Married,87981.0,635.82
37,Male,Married,30717.0,382.1
37,Male,Married,31174.0,337.2800000000001
37,Male,Married,47141.0,644.94
37,Male,Married,63981.0,744.7800000000001
37,Male,Married,68949.0,954.9299999999998
38,Male,Married,33984.0,473.77
39,Female,Married,20723.0,334.5300000000001
39,Female,Married,42612.0,641.43
39,Female,Married,65320.0,804.62
39,Male,Married,26519.0,361.99999999999994
39,Male,Married,28742.0,318.45
39,Male,Married,48462.0,341.7
39,Male,Married,82984.0,1164.3600000000001
40,Female,Married,29963.0,422.32000000000005
40,Male,Married,34738.0,297.63000000000005
40,Male,Married,38400.0,483.21
40,Male,Married,42737.0,721.94
40,Other,Married,32052.0,456.48
40,Other,Married,60696.0,487.4100000000001
41,Other,Married,81794.0,872.91
42,Male,Married,36595.9,403.53999999999996
42,Male,Married,43189.3,287.26
43,Male,Married,12247.4,170.10999999999999
43,Other,Married,54285.0,522.1400000000001
44,Male,Married,64035.4,682.6800000000001
45,Male,Married,32018.8,389.05
47,Female,Married,60020.4,1056.39
47,Other,Married,29011.4,362.95
50,Female,Married,56691.8,507.73
50,Male,Married,11982.3,96.55000000000001
50,Male,Married,42083.8,452.12999999999994
50,Male,Married,106321.6,2754.7200000000003
51,Female,Married,14631.45,109.47
51,Female,Married,15119.05,307.96000000000004
51,Female,Married,28529.2,289.49
51,Female,Married,36878.6,371.07
51,Female,Married,40488.05,751.3
51,Male,Married,53050.8,414.03999999999996
51,Male,Married,55256.3,1435.94
51,Male,Married,67064.8,1011.5000000000001
51,Male,Married,80925.5,610.26
51,Other,Married,72151.0,1415.68
52,Female,Married,13152.55,148.55
52,Female,Married,14018.5,99.98
52,Female,Married,19223.4,206.16
52,Female,Married,26651.25,301.25000000000006
52,Female,Married,40228.15,545.35
52,Female,Married,53216.25,360.69
52,Female,Married,55086.15,368.71000000000004
52,Female,Married,57082.55,1373.0900000000004
52,Female,Married,61955.1,276.92
52,Female,Married,64368.95,899.2700000000001
52,Female,Married,110486.25,1572.52
52,Male,Married,20102.0,244.10000000000002
52,Male,Married,23622.15,213.73000000000002
52,Male,Married,40273.0,644.6099999999999
53,Female,Married,28845.45,328.81
53,Female,Married,35086.5,302.19
53,Female,Married,37502.65,483.81000000000006
53,Female,Married,49918.05,655.5999999999999
53,Female,Married,61985.0,1347.1000000000001
53,Female,Married,64035.45,1203.3999999999999
53,Female,Married,72954.85,436.58000000000004
53,Male,Married,18566.75,188.89000000000001
53,Male,Married,19285.5,226.96999999999997
53,Male,Married,25866.95,247.72
53,Male,Married,28235.95,141.57
53,Male,Married,32304.65,446.7099999999999
53,Male,Married,36051.35,321.67
53,Male,Married,40539.8,474.77000000000004
53,Male,Married,62971.7,959.46
53,Male,Married,66330.85,542.43
53,Male,Married,142665.55,1656.08
53,Other,Married,44973.05,866.6099999999999
53,Other,Married,59415.9,653.97
53,Other,Married,125385.65,1971.96
54,Female,Married,9465.65,173.07
54,Female,Married,14652.15,185.86
54,Female,Married,35820.2,517.84
54,Female,Married,40278.75,945.8799999999999
54,Female,Married,46631.35,695.0799999999999
54,Female,Married,56445.45,953.5400000000001
54,Female,Married,65600.6,1089.1999999999998
54,Male,Married,16992.4,138.25
54,Male,Married,31633.05,864.96
54,Male,Married,33455.8,505.5900000000001
54,Male,Married,37240.45,833.47
54,Male,Married,48095.3,70.42
54,Male,Married,51224.45,878.23
54,Male,Married,85361.05,491.28
55,Female,Married,26232.65,272.40999999999997
55,Female,Married,28469.4,302.9
55,Female,Married,33460.4,849.8200000000002
55,Female,Married,34020.45,380.0
55,Female,Married,37067.95,319.74
55,Female,Married,40661.7,434.82
55,Female,Married,41840.45,539.5699999999999
55,Female,Married,51763.8,456.53
55,Female,Married,62263.3,794.25
55,Female,Married,71600.15,856.0
55,Female,Married,79245.35,1409.36
55,Female,Married,101841.7,1552.5600000000002
55,Female,Married,109313.25,1446.37
55,Female,Married,115234.6,2151.92
55,Male,Married,11578.2,186.36
55,Male,Married,23650.9,311.0
55,Male,Married,41961.2,1162.9099999999999
55,Male,Married,48669.15,628.74
55,Other,Married,17230.45,235.05999999999997
55,Other,Married,35459.1,925.1500000000001
55,Other,Married,68129.45,1124.56
55,Other,Married,75274.4,282.46000000000004
55,Other,Married,116028.1,1771.3799999999999
56,Female,Married,27585.05,609.8399999999999
56,Female,Married,28437.2,339.45000000000005
