age,gender,relationshipStatus,totalIncome,currencyAmount
20,Male,Single,5989.17,177.39
21,Female,Single,12972.3,173.74999999999997
21,Female,Single,13225.08,161.64999999999998
21,Male,Single,4237.53,160.50000000000003
21,Male,Single,5619.9,175.5
21,Other,Single,10385.1,156.49
22,Female,Single,12560.79,132.18
22,Female,Single,14516.37,176.83000000000007
22,Male,Single,8806.05,168.18
22,Male,Single,14621.31,103.07000000000002
23,Female,Single,4702.5,156.33999999999997
23,Female,Single,13575.21,137.65999999999997
23,Male,Single,3993.66,161.20000000000002
23,Male,Single,13336.95,137.67999999999998
23,Male,Single,13926.0,208.00000000000006
24,Male,Single,3546.84,169.78000000000003
24,Male,Single,4478.76,171.27000000000004
24,Male,Single,6512.55,139.08999999999997
24,Male,Single,6959.04,170.85000000000002
24,Male,Single,8040.78,169.76
26,Female,Single,6233.7,118.35999999999999
26,Male,Married,13263.03,204.11000000000004
26,Male,Single,5719.23,166.92000000000002
26,Male,Single,7890.96,165.01999999999995
26,Male,Single,13657.71,147.94000000000003
27,Female,Single,9149.58,221.31000000000003
28,Female,Single,7068.93,148.64000000000001
28,Female,Single,9322.17,154.95000000000005
28,Male,Single,10757.67,163.40999999999997
28,Other,Single,13788.72,201.31
29,Female,Single,4607.46,170.38
29,Female,Single,5234.13,154.72000000000003
29,Female,Single,10024.41,139.13
29,Female,Single,22423.17,146.45
29,Male,Single,7094.34,150.71
30,Female,Single,6812.85,162.12
30,Female,Single,11846.34,177.54999999999995
30,Male,Single,9657.12,208.28
30,Other,Married,14272.5,193.89000000000001
30,Other,Single,7181.13,166.03
31,Male,Married,13279.2,150.45
32,Other,Married,55503.0,149.75
33,Female,Divorced,39961.0,164.84
33,Female,Single,23643.0,131.69
33,Female,Single,25490.0,145.93
33,Female,Single,32677.0,141.76999999999998
33,Male,Single,18898.0,179.95000000000002
33,Male,Single,23004.0,367.88
34,Female,Divorced,80230.0,154.83999999999995
34,Female,Married,31513.0,149.71000000000004
34,Female,Married,40086.0,142.86
