age,gender,relationshipStatus,totalIncome,currencyAmount
31,Female,Single,30984.36,53.940000000000005
32,Male,Married,38733.0,65.94
33,Male,Married,82956.0,65.94
34,Female,Married,41670.0,59.940000000000005
34,Male,Married,42300.0,59.940000000000005
34,Male,Married,60982.0,53.940000000000005
35,Female,Married,21061.0,65.94
35,Female,Married,26352.0,69.93
35,Female,Married,37371.0,59.940000000000005
35,Female,Married,46002.0,53.940000000000005
35,Female,Married,46819.0,65.94
35,Female,Married,51765.0,59.940000000000005
35,Female,Married,72498.0,53.940000000000005
35,Female,Married,91032.0,59.940000000000005
35,Female,Married,99191.0,59.940000000000005
35,Female,Married,134042.0,59.940000000000005
35,Male,Married,35872.0,53.940000000000005
35,Male,Married,61187.0,65.94
35,Other,Married,21234.0,59.940000000000005
35,Other,Married,32962.0,62.93000000000001
35,Other,Married,42579.0,65.94
36,Female,Married,30470.0,53.940000000000005
36,Female,Married,32891.0,59.940000000000005
36,Female,Married,34390.0,65.94
36,Female,Married,49207.0,59.940000000000005
36,Female,Married,51906.0,65.94
36,Female,Married,91721.0,65.94
36,Male,Married,20743.0,59.940000000000005
36,Male,Married,26475.0,53.940000000000005
36,Male,Married,40683.0,65.94
36,Male,Married,56524.0,59.940000000000005
36,Male,Married,69868.0,62.93000000000001
36,Male,Married,104942.0,53.940000000000005
36,Other,Married,65094.0,59.940000000000005
37,Female,Married,90913.0,65.94
37,Male,Married,41919.0,53.940000000000005
37,Male,Married,63981.0,59.940000000000005
37,Male,Married,76079.0,53.940000000000005
38,Male,Married,21928.0,53.940000000000005
38,Male,Married,33984.0,59.940000000000005
39,Female,Married,65320.0,76.92999999999999
39,Female,Married,94996.0,53.940000000000005
39,Male,Married,43992.0,62.93000000000001
39,Male,Married,48462.0,62.93000000000001
39,Male,Married,48608.0,65.94
39,Male,Married,82984.0,53.940000000000005
40,Male,Married,37825.0,53.940000000000005
40,Male,Married,38400.0,65.94
40,Male,Married,52745.0,69.93
40,Other,Married,62474.0,53.940000000000005
42,Male,Married,104083.1,59.940000000000005
44,Male,Married,40153.3,59.940000000000005
47,Female,Married,60020.4,69.93
47,Male,Married,67106.6,59.940000000000005
48,Male,Married,21642.5,76.92999999999999
48,Male,Married,60148.0,76.92999999999999
49,Male,Married,29108.2,59.940000000000005
49,Male,Married,31802.1,59.940000000000005
49,Male,Married,34458.6,59.940000000000005
50,Male,Married,39952.0,59.940000000000005
50,Male,Married,106321.6,65.94
51,Female,Married,14631.45,53.940000000000005
51,Female,Married,16909.6,65.94
51,Female,Married,19498.25,59.940000000000005
51,Female,Married,25273.55,59.940000000000005
51,Female,Married,34393.05,59.940000000000005
51,Female,Married,45667.65,53.940000000000005
51,Female,Married,75709.1,53.940000000000005
51,Female,Married,87322.95,65.94
51,Female,Married,93764.1,59.940000000000005
51,Male,Married,61630.8,53.940000000000005
51,Male,Married,67064.8,59.940000000000005
51,Male,Married,94108.3,65.94
52,Female,Married,26500.6,65.94
52,Female,Married,34978.4,65.94
52,Female,Married,39857.85,59.940000000000005
52,Female,Married,40546.7,65.94
52,Female,Married,40816.95,59.940000000000005
52,Female,Married,40995.2,59.940000000000005
52,Female,Married,43593.05,65.94
52,Female,Married,46491.05,65.94
52,Female,Married,57082.55,65.94
52,Female,Married,130531.9,59.940000000000005
52,Male,Married,15667.6,59.940000000000005
52,Male,Married,23622.15,65.94
52,Male,Married,35355.6,53.940000000000005
52,Male,Married,37004.7,76.92999999999999
52,Other,Married,23113.85,53.940000000000005
52,Other,Married,135673.55,59.940000000000005
53,Female,Married,27695.45,53.940000000000005
53,Female,Married,32477.15,76.92999999999999
53,Female,Married,35086.5,65.94
53,Female,Married,37755.65,53.940000000000005
53,Female,Married,38482.45,59.940000000000005
53,Female,Married,49918.05,76.92999999999999
53,Female,Married,64035.45,65.94
53,Female,Married,72954.85,53.940000000000005
53,Female,Married,80489.65,53.940000000000005
53,Female,Married,95529.35,59.940000000000005
53,Male,Married,18566.75,53.940000000000005
53,Male,Married,36014.55,59.940000000000005
53,Male,Married,41610.45,59.940000000000005
53,Male,Married,48199.95,59.940000000000005
53,Male,Married,50516.05,69.93
53,Male,Married,62971.7,65.94
53,Male,Married,66971.4,69.93
53,Male,Married,71957.8,69.93
53,Other,Married,28318.75,53.940000000000005
53,Other,Married,32302.35,53.940000000000005
53,Other,Married,38073.05,59.940000000000005
53,Other,Married,44973.05,65.94
53,Other,Married,125385.65,65.94
54,Female,Married,14652.15,53.940000000000005
54,Female,Married,25520.8,65.94
54,Female,Married,31722.75,69.93
54,Female,Married,46631.35,65.94
54,Female,Married,84516.95,59.940000000000005
54,Male,Married,28750.0,59.940000000000005
54,Male,Married,31633.05,59.940000000000005
54,Male,Married,67319.85,59.940000000000005
54,Other,Married,35038.2,59.940000000000005
55,Female,Married,23300.15,69.93
55,Female,Married,27778.25,59.940000000000005
55,Female,Married,34020.45,65.94
55,Female,Married,40661.7,53.940000000000005
55,Female,Married,62263.3,59.940000000000005
55,Female,Married,71600.15,59.940000000000005
