age,gender,relationshipStatus,totalIncome,currencyAmount
20,Male,Single,5989.17,88.57
20,Male,Single,9038.7,127.84
20,Male,Single,10021.11,96.34
21,Female,Single,10895.61,131.12
21,Female,Single,12972.3,225.95
21,Female,Single,13225.08,79.25
21,Male,Single,3111.9,77.82
21,Male,Single,4237.53,121.89
21,Male,Single,5619.9,160.13
21,Male,Single,8610.69,101.23
21,Other,Single,10385.1,72.77000000000001
22,Female,Single,11873.07,126.22999999999999
22,Female,Single,12560.79,153.5
22,Female,Single,14516.37,96.31
22,Male,Married,9717.51,103.53
22,Male,Single,5658.18,127.92
22,Male,Single,8806.05,143.97
22,Male,Single,10997.25,125.53999999999999
22,Male,Single,11190.3,25.7
22,Male,Single,14621.31,132.57999999999998
23,Female,Single,13575.21,198.09
23,Female,Single,15113.01,252.31
23,Male,Single,4195.62,118.62
23,Male,Single,4705.47,145.02
23,Male,Single,6914.82,363.38
23,Male,Single,9786.48,282.9
23,Male,Single,13336.95,27.32
23,Male,Single,13926.0,30.83
24,Female,Single,5785.89,179.46
24,Female,Single,10703.55,140.99
24,Female,Single,13065.69,545.21
24,Female,Single,17805.48,38.37
24,Male,Single,4478.76,212.25
24,Male,Single,6512.55,245.03
24,Male,Single,6959.04,312.53000000000003
24,Male,Single,8040.78,396.15
24,Male,Single,10127.7,356.81
24,Male,Single,17779.74,300.62
25,Female,Single,6415.53,193.53
25,Female,Single,8428.86,272.40000000000003
25,Female,Single,8589.24,182.64
25,Female,Single,8722.89,311.12
25,Male,Single,7389.69,131.57
25,Male,Single,7743.45,258.44
25,Male,Single,8514.99,178.55
25,Male,Single,15363.81,211.82
26,Female,Single,6233.7,189.88
26,Female,Single,15723.84,330.96
26,Female,Single,20968.86,610.69
26,Male,Married,13263.03,276.38
26,Male,Married,50117.1,157.54999999999998
26,Male,Single,5719.23,376.94000000000005
26,Male,Single,7890.96,121.87
26,Male,Single,13657.71,317.6
26,Male,Single,13726.02,170.92
27,Female,Single,7949.7,315.89000000000004
27,Female,Single,9149.58,312.24
27,Female,Single,9897.03,219.06
27,Male,Single,8236.47,172.34
27,Male,Single,10494.99,171.43
27,Male,Single,12403.38,518.9200000000001
27,Male,Single,23229.36,184.02
27,Other,Single,4505.82,144.47000000000003
27,Other,Single,7595.28,232.22000000000003
28,Female,Single,7013.82,246.52000000000004
28,Female,Single,9322.17,390.2
28,Female,Single,11120.01,262.0
28,Male,Single,5954.85,322.63
28,Male,Single,10757.67,158.48000000000002
28,Male,Single,13421.76,245.0
28,Other,Single,13788.72,212.38000000000002
29,Female,Single,4607.46,36.93
29,Female,Single,5234.13,98.03
29,Female,Single,8299.5,201.4
29,Female,Single,10024.41,590.5600000000001
29,Female,Single,22423.17,734.8399999999999
29,Male,Single,7094.34,514.3900000000001
29,Male,Single,13811.82,350.58
30,Female,Single,4114.11,535.61
30,Female,Single,6609.24,226.95
30,Female,Single,6791.4,321.44
30,Female,Single,6812.85,824.16
30,Female,Single,9917.82,1031.5
30,Female,Single,10149.81,872.06
30,Female,Single,11846.34,507.08000000000004
30,Male,Married,8894.49,1025.99
30,Male,Married,20284.44,169.64
30,Male,Single,9657.12,590.0400000000001
30,Male,Single,11602.8,557.22
30,Male,Single,21530.19,708.3
30,Other,Married,14272.5,147.6
30,Other,Single,7181.13,938.48
31,Female,Divorced,6708.57,423.18
31,Female,Single,30984.36,884.3999999999999
31,Male,Married,13279.2,187.07999999999998
31,Male,Single,7499.58,377.34999999999997
31,Male,Single,9296.1,531.26
31,Male,Single,9950.16,611.0799999999999
31,Male,Single,16299.69,251.59
32,Female,Single,8062.23,412.68999999999994
32,Female,Single,12579.6,244.57000000000002
32,Female,Single,24163.0,422.76
32,Male,Married,19202.7,895.1300000000001
32,Male,Married,38733.0,547.5500000000001
32,Male,Single,9982.5,475.18
32,Other,Married,55503.0,299.26
33,Female,Divorced,39961.0,790.2399999999999
33,Female,Divorced,54903.0,186.54
33,Female,Single,23643.0,438.67999999999995
33,Female,Single,25490.0,413.49
33,Female,Single,32677.0,433.15000000000003
33,Female,Single,63061.0,141.24
33,Male,Married,53354.0,389.23
33,Male,Married,82956.0,502.06000000000006
33,Male,Married,122458.0,617.52
33,Male,Single,18898.0,574.6400000000001
33,Male,Single,23004.0,706.75
34,Female,Divorced,80230.0,671.36
34,Female,Married,31513.0,543.08
34,Female,Married,33687.0,167.51
34,Female,Married,39745.0,671.74
34,Female,Married,40086.0,569.17
34,Female,Married,41670.0,312.45
34,Female,Married,41789.0,297.45000000000005
34,Female,Married,64509.0,262.78999999999996
34,Male,Married,42035.0,502.59
34,Male,Married,42300.0,1035.51
34,Male,Married,46980.0,961.26
34,Male,Married,49976.0,222.88
34,Male,Married,60982.0,847.4299999999998
34,Male,Single,13117.0,1056.83
34,Male,Single,22490.0,306.28
35,Female,Married,21061.0,310.45
35,Female,Married,26352.0,549.6
35,Female,Married,28047.0,554.61
35,Female,Married,28216.0,237.43
35,Female,Married,29729.0,866.8600000000001
35,Female,Married,31614.0,278.75
35,Female,Married,32351.0,486.66
35,Female,Married,33099.0,377.38
35,Female,Married,33469.0,291.66
35,Female,Married,33596.0,825.49
35,Female,Married,34008.0,510.23
35,Female,Married,34020.0,905.1800000000001
35,Female,Married,34286.0,833.1000000000001
35,Female,Married,34611.0,226.64999999999998
35,Female,Married,36914.0,384.87
35,Female,Married,37371.0,245.52
35,Female,Married,37957.0,450.91999999999996
35,Female,Married,38096.0,1047.08
35,Female,Married,42800.0,1014.2100000000002
35,Female,Married,43866.0,634.96
35,Female,Married,46002.0,572.64
35,Female,Married,46670.0,1009.4200000000001
35,Female,Married,46819.0,144.07
35,Female,Married,47101.0,206.34
35,Female,Married,48257.0,514.29
35,Female,Married,48948.0,485.59000000000003
35,Female,Married,50227.0,1076.97
35,Female,Married,51404.0,437.8
35,Female,Married,51765.0,973.84
35,Female,Married,53468.0,380.96
35,Female,Married,56919.0,200.81
35,Female,Married,56924.0,232.65
35,Female,Married,68665.0,890.9499999999999
35,Female,Married,69396.0,352.36
35,Female,Married,72498.0,138.60000000000002
35,Female,Married,78025.0,996.9300000000001
35,Female,Married,78868.0,656.88
35,Female,Married,87523.0,456.71
35,Female,Married,90590.0,473.3
35,Female,Married,91032.0,424.65999999999997
35,Female,Married,91402.0,413.61999999999995
35,Female,Married,93386.0,297.69
35,Female,Married,99191.0,411.32
35,Female,Married,134042.0,314.58
35,Female,Single,15947.0,1048.06
35,Female,Single,17462.0,663.03
35,Female,Single,52162.0,471.32
35,Male,Married,28264.0,537.78
35,Male,Married,31019.0,75.91
35,Male,Married,35872.0,396.69999999999993
35,Male,Married,61187.0,494.31
35,Other,Married,21234.0,619.23
35,Other,Married,28787.0,588.93
35,Other,Married,32962.0,380.67999999999995
35,Other,Married,54139.0,663.54
35,Other,Married,56083.0,497.1
36,Female,Married,21131.0,738.3199999999999
36,Female,Married,25475.0,516.36
36,Female,Married,25560.0,645.92
36,Female,Married,28109.0,477.03999999999996
36,Female,Married,30470.0,648.04
36,Female,Married,30548.0,249.17000000000002
36,Female,Married,32891.0,779.1800000000001
36,Female,Married,34390.0,160.11
36,Female,Married,34414.0,308.54
36,Female,Married,35207.0,539.97
36,Female,Married,36139.0,357.21999999999997
36,Female,Married,40205.0,486.31
36,Female,Married,45883.0,524.66
36,Female,Married,49207.0,401.28999999999996
36,Female,Married,51906.0,609.8100000000001
36,Female,Married,53294.0,240.7
36,Female,Married,55545.0,762.24
36,Female,Married,56527.0,192.32999999999998
36,Female,Married,60939.0,462.4
36,Female,Married,61659.0,389.12999999999994
36,Female,Married,65312.0,330.26
36,Female,Married,66333.0,609.95
36,Female,Married,110257.0,404.97
36,Female,Single,12734.0,757.7399999999999
36,Female,Single,25066.0,571.15
36,Male,Married,20743.0,369.96999999999997
36,Male,Married,22410.0,589.16
36,Male,Married,25930.0,323.84000000000003
36,Male,Married,26475.0,389.21
36,Male,Married,32637.0,500.95000000000005
36,Male,Married,33616.0,478.22
36,Male,Married,35061.0,212.99
36,Male,Married,35276.0,512.48
36,Male,Married,40683.0,654.3899999999999
36,Male,Married,44803.0,804.39
36,Male,Married,56524.0,243.26999999999998
36,Male,Married,62468.0,814.6699999999998
36,Male,Married,69868.0,195.57
36,Male,Married,74916.0,220.64999999999998
36,Male,Married,104942.0,332.65
36,Male,Single,11622.0,160.85
36,Other,Married,23124.0,408.45
36,Other,Married,44935.0,238.04000000000002
36,Other,Married,57975.0,655.0500000000001
36,Other,Married,65094.0,432.7900000000001
36,Other,Married,76054.0,647.1600000000001
37,Female,Divorced,22324.0,935.16
37,Female,Married,17723.0,281.85
37,Female,Married,90913.0,513.37
37,Male,Married,17636.0,130.77
37,Male,Married,30717.0,1305.75
37,Male,Married,31174.0,878.99
37,Male,Married,34967.0,287.3
37,Male,Married,35953.0,806.2
37,Male,Married,39570.0,687.0000000000001
37,Male,Married,41919.0,519.02
37,Male,Married,47141.0,705.27
37,Male,Married,52660.0,1470.65
37,Male,Married,68949.0,463.88
37,Male,Married,76079.0,248.64
37,Male,Single,15544.0,996.02
37,Male,Single,19468.0,500.47
37,Male,Single,22106.0,600.71
37,Other,Single,38209.0,682.79
38,Female,Married,34451.0,1036.73
38,Female,Married,38296.0,771.9599999999999
38,Female,Married,66867.0,845.49
38,Male,Married,21928.0,634.4699999999999
38,Male,Married,33984.0,449.40999999999997
38,Male,Married,38096.0,333.27
38,Male,Married,52336.0,433.75
38,Male,Married,59104.0,218.63
38,Male,Married,73872.0,621.71
38,Male,Single,27792.0,249.66
38,Male,Single,36144.0,589.91
38,Male,Single,50389.0,104.68
38,Other,Married,58852.0,494.57000000000005
39,Female,Divorced,44824.0,446.31000000000006
39,Female,Married,20723.0,809.6499999999999
39,Female,Married,62358.0,726.5
39,Female,Married,65320.0,920.36
39,Female,Married,94996.0,271.98
39,Male,Married,20956.0,284.52
39,Male,Married,26519.0,1120.8100000000002
39,Male,Married,28742.0,815.46
39,Male,Married,38595.0,1172.45
39,Male,Married,39628.0,676.8900000000001
39,Male,Married,41619.0,1140.54
39,Male,Married,43992.0,313.08
39,Male,Married,48462.0,469.08
39,Male,Married,48608.0,660.0
39,Male,Married,82984.0,641.9000000000001
39,Male,Married,83731.0,262.01
40,Female,Married,28393.0,164.16
40,Female,Married,29182.0,718.07
40,Female,Married,29963.0,809.94
40,Female,Married,53408.0,710.48
40,Female,Married,54022.0,526.8
40,Male,Married,31637.0,176.41
40,Male,Married,34738.0,964.01
40,Male,Married,37825.0,129.43
40,Male,Married,38400.0,739.81
40,Male,Married,52745.0,1167.7
40,Male,Married,71419.0,574.71
40,Other,Married,31266.0,1059.54
40,Other,Married,60696.0,363.11
40,Other,Married,62474.0,765.4399999999999
41,Male,Married,29136.0,332.12
41,Male,Married,40307.3,946.76
41,Male,Married,118728.5,1244.6799999999998
42,Male,Married,36595.9,693.8
42,Male,Married,41816.5,316.23
42,Male,Married,43189.3,551.5
42,Male,Married,92560.6,299.22
42,Male,Married,104083.1,608.3299999999999
