age,gender,relationshipStatus,totalIncome,currencyAmount
20,Male,Single,5989.17,166.73
20,Male,Single,9038.7,477.38999999999976
20,Male,Single,10021.11,160.50000000000003
20,Other,Single,12695.43,137.84000000000003
21,Female,Single,10895.61,324.08
21,Female,Single,12972.3,144.9
21,Male,Single,3111.9,322.94
21,Male,Single,4237.53,188.45999999999998
21,Male,Single,5619.9,301.98
21,Male,Single,8610.69,176.70999999999992
21,Male,Single,9150.24,195.23999999999998
21,Male,Single,9523.14,321.42999999999995
21,Male,Single,19837.95,150.28
22,Female,Single,8326.56,181.83999999999995
22,Female,Single,10354.74,296.24
22,Female,Single,11873.07,161.35
22,Male,Married,9717.51,485.2
22,Male,Single,5658.18,367.42
22,Male,Single,6013.59,300.74999999999994
22,Male,Single,8806.05,302.4599999999999
22,Male,Single,10997.25,296.12999999999994
22,Male,Single,11190.3,299.4400000000001
22,Male,Single,14621.31,340.9900000000001
23,Female,Single,4702.5,343.13
23,Female,Single,8648.31,181.49
23,Female,Single,12016.95,292.17
23,Male,Single,3993.66,298.9299999999999
23,Male,Single,4195.62,343.62999999999994
23,Male,Single,4705.47,323.53999999999996
23,Male,Single,6914.82,479.65
23,Male,Single,9786.48,471.44000000000017
23,Male,Single,13336.95,352.36999999999995
23,Male,Single,13926.0,304.32
24,Female,Single,2783.55,337.78
24,Female,Single,5785.89,286.88
24,Female,Single,10703.55,147.73
24,Female,Single,13065.69,321.62999999999994
24,Female,Single,17805.48,164.89000000000001
24,Male,Single,3546.84,263.12000000000006
24,Male,Single,6512.55,362.06
24,Male,Single,6959.04,341.71999999999997
24,Male,Single,8040.78,343.29999999999995
24,Male,Single,10127.7,346.6700000000002
24,Male,Single,17779.74,312.08
25,Female,Single,6415.53,484.21999999999997
25,Female,Single,8428.86,500.26000000000005
25,Female,Single,8589.24,266.51
25,Female,Single,8722.89,338.1000000000002
25,Male,Single,7389.69,327.63
25,Male,Single,7743.45,434.38
25,Male,Single,8514.99,473.2100000000001
25,Male,Single,15363.81,148.21000000000004
26,Female,Single,6233.7,387.49000000000007
26,Female,Single,15723.84,164.39999999999998
26,Female,Single,20968.86,480.3099999999999
26,Male,Married,13263.03,236.54999999999998
26,Male,Married,50117.1,290.29999999999995
26,Male,Single,5719.23,158.3
26,Male,Single,7890.96,155.60000000000002
26,Male,Single,11235.18,438.22999999999996
26,Male,Single,13657.71,170.01000000000002
26,Male,Single,13726.02,141.67
27,Female,Single,7949.7,169.46
27,Female,Single,9149.58,110.51000000000002
27,Female,Single,9897.03,285.45
27,Male,Single,8236.47,352.95000000000016
27,Male,Single,9969.96,283.1000000000001
27,Male,Single,10494.99,324.9
27,Male,Single,12403.38,297.28
27,Male,Single,23229.36,150.08999999999997
27,Other,Single,4505.82,336.23999999999995
27,Other,Single,7595.28,335.6
28,Female,Single,7013.82,327.7500000000001
28,Female,Single,7068.93,126.54999999999998
28,Female,Single,9322.17,324.31999999999994
28,Female,Single,10075.56,317.61999999999995
28,Female,Single,11120.01,322.55
28,Male,Single,5954.85,311.15999999999997
28,Male,Single,10757.67,144.95000000000002
28,Male,Single,13421.76,438.55999999999995
29,Female,Single,4607.46,184.84
29,Female,Single,5234.13,361.3
29,Female,Single,8299.5,499.3199999999999
29,Female,Single,10024.41,331.85
29,Female,Single,22423.17,170.94
29,Male,Single,7094.34,348.99999999999994
29,Male,Single,13811.82,306.54999999999995
30,Female,Single,4114.11,481.26
30,Female,Single,6609.24,330.63999999999993
30,Female,Single,6791.4,305.95
30,Female,Single,6812.85,158.74
30,Female,Single,9917.82,339.67000000000013
30,Female,Single,10149.81,370.67000000000013
30,Female,Single,11846.34,306.5300000000001
30,Male,Married,8894.49,281.06999999999994
30,Male,Married,20284.44,142.38000000000002
30,Male,Single,9657.12,149.31000000000006
30,Male,Single,21530.19,480.46000000000004
30,Other,Single,7181.13,311.05
31,Female,Divorced,6708.57,349.27000000000004
31,Female,Single,30984.36,335.0400000000001
31,Male,Married,13279.2,267.96000000000004
31,Male,Single,3996.3,297.34000000000003
31,Male,Single,7499.58,286.0000000000001
31,Male,Single,9296.1,306.2100000000001
31,Male,Single,9950.16,293.49000000000007
31,Male,Single,16299.69,189.93000000000004
32,Female,Single,8062.23,486.45
32,Female,Single,12579.6,171.34
32,Female,Single,24163.0,304.67
32,Male,Married,19202.7,329.56000000000006
32,Male,Married,38733.0,447.62000000000006
32,Male,Single,9982.5,294.11000000000007
32,Other,Married,55503.0,148.46000000000004
33,Female,Divorced,39961.0,327.45
33,Female,Divorced,54903.0,146.18999999999997
33,Female,Single,23643.0,203.93999999999994
33,Female,Single,25490.0,133.1
33,Female,Single,32677.0,194.89999999999995
33,Female,Single,63061.0,175.04999999999995
33,Male,Married,53354.0,342.09000000000003
33,Male,Married,82956.0,187.85
33,Male,Married,122458.0,142.42000000000002
33,Male,Single,18898.0,262.79
33,Male,Single,29737.0,129.45
34,Female,Married,31513.0,129.60999999999999
34,Female,Married,33687.0,489.83
34,Female,Married,39745.0,307.8100000000001
34,Female,Married,40086.0,367.13000000000005
34,Female,Married,41670.0,161.29000000000002
34,Female,Married,41789.0,174.89
34,Female,Married,64509.0,271.61999999999995
34,Male,Married,42035.0,214.07
34,Male,Married,42300.0,298.27000000000004
34,Male,Married,45832.0,308.02000000000015
34,Male,Married,46980.0,314.8500000000001
34,Male,Married,49976.0,177.91
34,Male,Married,60982.0,343.9700000000001
34,Male,Single,13117.0,302.41
34,Male,Single,22490.0,451.90000000000015
34,Other,Married,42166.0,189.56000000000012
35,Female,Married,21061.0,165.26000000000002
35,Female,Married,26352.0,330.53999999999996
35,Female,Married,28047.0,486.4399999999999
35,Female,Married,28216.0,308.79
35,Female,Married,29729.0,317.0200000000001
35,Female,Married,31614.0,301.95
35,Female,Married,32351.0,292.75000000000006
35,Female,Married,33076.0,125.50999999999999
35,Female,Married,33099.0,353.86
35,Female,Married,33469.0,160.99999999999997
35,Female,Married,33596.0,494.31000000000023
35,Female,Married,34008.0,296.86999999999995
35,Female,Married,34286.0,334.91
35,Female,Married,34611.0,318.12
35,Female,Married,36914.0,492.64000000000027
35,Female,Married,37371.0,459.92000000000013
35,Female,Married,37957.0,164.71
35,Female,Married,38096.0,309.79999999999995
35,Female,Married,42800.0,153.56
35,Female,Married,43866.0,141.83999999999997
35,Female,Married,44168.0,292.17999999999995
